text,predicted
@mirebotan84 @RamiAlLolah I support that. I don't like people like Rami who complain about the things he supports when done to others.,religion
#SelfDefense The Best Martial Art for stopping Bullying http://t.co/cQajVOl,religion
@_jearbear__ @kv3rch he swore the ravens were gonna whoop our ass.. Jj watt is gonna destroy that o-line lol,religion
@edgeofthesandbx @batchelorshow @FearDept And there have been dozens of witnesses who have seen the Russians target civilians for propaganda,religion
RT @peteevansnot: Seriously why wouldn't you feed #paleo formula to your newborns with TWENTY TIMES the vitamin A of breastmilk? #mkr http:…,religion
"Anti-bullying workshop offers parents practical, legal solutions: With 30 percent of students nationwide being h... http://t.co/xjkhms6",religion
"If your benchmark for success is Team Greek next door, then you're always going to be feeling confident. #MKR",religion
Yo. Who do I know at @pagerduty? I can never recall names + employers.,religion
RT @TVWEEKmag: #katandandre might have to eat her words after receiving some not so great feedback on their ham and gruyere dish. #MKR #tvw…,religion
"White dude wins the Nobel for lit again, shocking, next you'll tell me his novels speak to a universal human experience",religion
@normaojeda000 yupperz!! Why?,religion
"@GiacomoBert8008 Honestly, WHAT",religion
You know...kudos to #MKR for being able to stretch out a show....over a month onto the show and we still dont have final teams...,religion
"@Llydisblur people seem to have a really warped view of what republican even means, lately. party lines have majorly shifted. :\",religion
RT @brownlee_dr: #Yazidi #girls tell of escape from #IS http://t.co/6FVwGLCP24,religion
@MacaLofish_UC  oajoajoajajo creo que todos me hacen bullying porr no tomar ojaojaojaoajoajoja,religion
Lolol that boy is whipped AF,religion
@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!! This is still the early bird special. #ComeAtMeUT,religion
The girls need to learn how to churn #MKR,religion
Stick to your day jobs girls #MKR,religion
How are You? @edcrossfineart We are well...,religion
@ugobananas OBVIOUSLY,religion
That's crap Lynn and Tony should have stayed #MKR,religion
I GUESS I NEED YOU BABYY~,religion
@yuskan0723 Just as I thought.  There is no evidence of intentionally targeting children. And it's not even certain it was an Israeli boat.,religion
"@LynnMagic turning it into a block list could be pretty rad, too. ;)",religion
"Sure is Monday! Up at 4am for work, the boss is in a bad mood, he messed up my schedule, and our DC driver ran into our dumpster!",religion
#MKR my guess. bottom 2 teams from each round are going back into instant restaurants. Just saying.,religion
"@Lovemycoffeetoo @hidden_horcrux there were 4 top teams, 1 from ea round, &amp; didn't #AdamAndCarol  top their round &amp; are also safe? #mkr",religion
When someone gets bitten by a rabid dog and has to get six inch needles in the belly be there to say NOT ALL DOGS #notalleverything,religion
@SirajZarook @BilalIGhumman @OdiniaInvictus @IsraeliRegime There is no ongoing endless occupation anywhere.,religion
"Minnesota gay teens bullied by adults, peers, say activists (Reuters): Reuters – Barb Schroeder knew about her s... http://t.co/ujqd9K2",religion
"And a 7 for ""smear of lemon tart""??? #MKR",religion
"@Censored31 @rupertmurdoch I don't have a religion, microbrain.  Have you found what hole that coward Baghdadi crawled into at Gwer?",religion
@Assiye61 @MaxBlumenthal The Quran.,religion
mmmm #MKR Forget Deconstruction @lisamromano @garydlum @mattsparks88 THIS is Lemon Tart 🍋🍋🍋 mmmm http://t.co/iiLigXbbzw,religion
Pretty sure they're hiding any ability to actually cook.,religion
im@s: takes 20 hours to download,religion
"Walked out of the shelter with no puppy, but now I have a date. Uh. Success has many definitions.",religion
Today i just did not want to get up. Am dragging myself to college.,religion
"@DNas shyt iono.. i got hella shyt.. esp rockstar.. off the top of my head, the gta's..bully..re4..PrinceOfPersias..TwistedMetalBlack..etc",religion
To the extreme I rock a mic like a vandal,religion
"RT @nrrrdcore: At the very least, questions will be raised. And we now understand that women in our industry must choose between incompeten…",religion
"I'm much happier as a financially secure adult than as a kid in a paycheck to paycheck household (and I had great parents, just no $$$)",religion
RT @mykitchenrules: Nawwww 😭😭😭 #MKR,religion
Annie &amp; Loyd,religion
@chris_gray91 no I'm keeping that for later trackies and a tshirt on #LuckyNooneCanSeeMe :( ha x,religion
"The current system is inadequate. Some of us are experienced at navigating these pitfalls, and we can help you.",religion
"@RichardDawkins As a child, my parents sent us to Sunday School but I think it was so they had time on their own.I can forgive them for that",religion
When is the drag show ? #ECU,religion
Bullying : Quando você esta no onibus e tem um lugar vago no seu lado e as pessoas preferem ficar em pé,religion
@justinbieber Your How I Get Through Bullying And Tough Times Thinking Of You & How You Got Through It Makes Me See A Light At The End NSN♥,religion
@buellerishere I've watched the ISIS guys argue with Saudi Muslim scholars here on twitter. The scholars always loose.,religion
@onebrightlight i've been talking to 2 employees and i heard about a lot of the internal politics re: GG. it's enough to make me stay.,religion
@xoxoMs_smith never ever serve a nigga where you sleep at police be at ya door and nigga you ain't tryna see that,religion
"@Censored31 @islamic_john Good, that trash should be mocked by the world.",religion
"Oh my gosh they played ""Ready to Run"" on #MKR tonight!! I was soo happy!!",religion
Heidi that's no argument! Not everyone who was bullied feels the need to get a nose job and eyelid surgery #InsightSBS,religion
Anyone went to church services this morning?  Does your little one stay with you or go to a nursery or Sunday School class?,religion
this has been the longest most uneventful weekend of my life. I feel like I just came from a vacation break.,religion
ITS BEAUTIFULLLLLLL :'( :'( :'( :'(,religion
"@RexMundane @gamerfortruth @a_man_in_black i'm not 100% sure where it started, but it's not going anywhere good.",religion
RT @NewIdeamagazine: Just when they thought it was safe to go back into the kitchen... Instant restaurant redemption round! #mkr,religion
@LifeInKhilafah LOL. YPG and Pesh are showing videos of truckloads of Daesh bodies. I'm still waiting for the big event you promised.,religion
Being a Bully Dont Make You Cool,religion
"@discerningmumin But regardless, ISIS will be completely defeated. I guarantee it. They are too technologically backward to win a modern war",religion
@RodGarraud @conivergara perdoname :( no puedo vivir sin hacer bullying es parte de mi! jajajajaja,religion
Video: Kevin Durant Gets Flushed On By Geoff Aka Big Bully At Dyckman! http://t.co/b0zyxeQ via @worldstar,religion
"@_MacaAlejandra @xsiempreJcyFer @camiiHidalgo_ Oigan , me Siento discriminada :'c me hacen Bulling aaaag* Las Denunciare xd",religion
#reasonifailatbeingagirl would much prefer to watch Cowboy Bebop than Made in Chelsea,religion
@LifeInKhilafah ROFL.  Where is Kobani in the picture? Answer - they have lost it.,religion
"@1Life0Continues i've got the code to interpret &amp; analyze, but the weights themselves are going to take a lot of fiddling.",religion
"Dou um empurrão em uma pessoa, isso se chama : - › empurrão. › › SOCIEDADE: bullying! http://tumblr.com/xun3xycfun",religion
#simpleasthat,religion
Me and @LaDyMavV11 stay on instagram and twitter in this class!!,religion
RT @jurijuri: @freebsdgirl It's like Total Recall but with only two breasts. MAYBE.,religion
"Curious - so, for the rest of the (non bay area) country - is it normal to see a tweet make news?",religion
@girlziplocked jfc.,religion
@classic_KZ @kevin_kohout @sbroph93 @BillDollarton @inSpector_Drew Todays the day maafucks! #readytorage,religion
@Blaq_Kocaine I'll have to check when I go home,religion
Lets hear it for a short work/school week!!!,religion
@yhdjgdjhyghghgj Thanks. I'm glad that all the genocidal Daesh slavers were cleared out.,religion
Pete eating... #mkr http://t.co/3wcIykPqX3,religion
@emily_esque I would love that. would you mind DMing me your email address? can shoot you an email later today.,religion
@GetEmEasy that don't make u a hater..if u said u didn't think it was good u would be a hater..I think it's classic tho..to each his own.,religion
Caller wanted MIKE's opinion if they r liable.,religion
"@doofsmack @wadhwa YUP. incidentally, I know the editor. She's a woman, a gamer, and in tech. It's all factual info.",religion
This person thinks that ~6 people tweeting at them for being a sealioning ass is the worst thing in the world.,religion
"@Like_Nino remember the girl that was passed out in that wet spot, and I was like ""is that pee..or liquor?"" She was behind us in the corner",religion
#face #hope #bullying http://t.co/taLCQMj,religion
RT @mcRelyt: @MT8_9 We have bucookie? http://t.co/Iai78l6KCV,religion
"@joanneleon @ChristophHeer52 First, Bandera fought for Nazis, but he was also in a Nazi prison.",religion
"Have 2 team members, sticking with this for now. Thanks, everyone. ^.^",religion
@rileysomething I'm not adverse to putting boots on the ground at Raqqa and letting our boys kill ISIS through a scope sight.,religion
"Yep, me too RT@gregbugden @smh @janecaro I always like her public school affirmations too",religion
"@DaveGreene11 And I'm sure you sew all the tiny stitches on your own clothes, not underpaid women overseas.",religion
@caitbit BLACKMILK IS AMAZING. have you seen them before?,religion
FUCKIN' SEE YA @Ztd619Dupuis,religion
So I see channel 7 have found another way to drag #MKR out for an extra few months this year,religion
The perfect seat in class would be one where you are surrounded by your best friend and your crush.,religion
RT @Everestedup: Omg double elimination?! #MKR,religion
@CarlyandTresne: I still can't believe that Katie and Nikki are out! Seriously... (Oops prob shouldn't say that) #mkr  totes awkward lol,religion
@AyeOkay89 shittiest day of the week #Monday,religion
There's one player on this pitch who's just a class above. Juan Mata. #supersunday,religion
"RT @RichardDawkins: Watching ""India's Daughter"", horrifying. Lawyer defending rapists: ""We have the best culture. In our culture there's no…",religion
"I hope their cooking shows through the next round. I mean, they have to plate it up right? All their (lacking) skills. #MKR",religion
Wow...I feel so sorry for Colin having to eat what those 2 are serving! #MKR #MKR2015 #vomit,religion
"@milfgaardian N'rage pink after ~1 week, turquoise is a mix of special fx. Nrage pink holds very well. http://t.co/MqX0jZSIlP",religion
"Michelle ( Heartless Bitch) Bachman WON'T Sign Anti-bullying law Cause She Doesn't want 2 ""turn boys in2 girls"" WTF ?@ChrisLarson82",religion
"@Ammaawah @jm111t Yeah, it says that men can beat women.  So what is your point?",religion
What's better than college basketball?,religion
"Bullying linked to decreases in GPA, longer lasting negative psychological effects, and obesity. More evidence... http://t.co/UCdxYcj",religion
"Old school, Degrassi&gt;&gt;&gt;&gt;&gt; #ThatsMyShit",religion
"Gonna cry in a minute, I can't fucking cope with maths",religion
STOP LYING @XaiaX,religion
@petechesbot @tmclaughbos APPARENTLY NOT,religion
RT @GidgitVonLaRue: #MKR France Vs Ireland Vs Paleo Pete...LETS RUMBLE!,religion
tbh rooting for jane and emma bc we have that lawyer bond #opposites #mkr,religion
#theawkwardmoment when you make a status on facebook saying you hate bullies then a bully likes it.,religion
@Paigey_x hahaha we will see #doubtful,religion
RT @girlziplocked: WTF @onthemedia @tldr? Man gets upset that women in tech are upset that said man silences women. So you take it down? ht…,religion
This is just ridiculous. #mkr Another 7 FFS.,religion
@UnitePink my apt complex turns away all packages ❤️,religion
the fact that there are 4958239689587 cute boys in the world and 0% go to my school i am sick of this shit,religion
RT @barbara_volkwyn: Islamic State Resupply Route Extended to 400 km After Peshmerga Take #Mosul– #Sinjar Road  http://t.co/bvrcRNAn1w #ISI…,religion
@_alianicole i kno a play where u i was always the bully n champion !!  ooowwwww,religion
